"dba_name","zip","matched_name","rating","price_level","user_ratings_total","business_status","place_id","address","types"
"jet's pizza",60707,"Jet's Pizza",4.1,1.0,311.0,"OPERATIONAL","ChIJz5A3syTLD4gRE0ZU3uJYY_Q","1805 N Harlem Ave, Chicago, IL 60707, United States","['meal_delivery', 'meal_takeaway', 'restaurant', 'point_of_interest', 'food', 'establishment']"
"jet's pizza",60657,"Jet's Pizza",3.9,1.0,275.0,"OPERATIONAL","ChIJMQU0fPfSD4gRsk-Yy_Ud3yE","2811 N Ashland Ave, Chicago, IL 60657, United States","['meal_delivery', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']"
"jet's pizza",60626,"Jet's Pizza",4.4,1.0,192.0,"OPERATIONAL","ChIJDwNcKi3RD4gRTJ6X1u_rdzw","7070 N Clark St, Chicago, IL 60626, United States","['meal_delivery', 'meal_takeaway', 'restaurant', 'point_of_interest', 'food', 'establishment']"
"jet's pizza il24",60647,"Jet's Pizza",4.4,1.0,461.0,"OPERATIONAL","ChIJT01IeZTND4gRrYv74azQU6Y","3951 N Kimball Ave, Chicago, IL 60618, United States","['meal_delivery', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']"
"jet's pizza illinois #21, llc",60640,"Jet's Pizza",4.0,1.0,227.0,"OPERATIONAL","ChIJByiX5yfSD4gRYaOVv6wwL7g","5058 N Clark St, Chicago, IL 60640, United States","['meal_delivery', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']"
"jets pizza",60622,"Jet's Pizza",4.0,1.0,275.0,"OPERATIONAL","ChIJ67-VpsbSD4gRxYiz_2l5Egw","1811 W North Ave, Chicago, IL 60622, United States","['meal_takeaway', 'meal_delivery', 'restaurant', 'food', 'point_of_interest', 'establishment']"
"jets pizza",60654,"Jet's Pizza",4.1,1.0,297.0,"OPERATIONAL","ChIJqYAUu7QsDogRoPjSR_Dshdc","409 W Chicago Ave, Chicago, IL 60654, United States","['meal_delivery', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']"
"jets pizza",60618,"Jet's Pizza",4.4,1.0,461.0,"OPERATIONAL","ChIJT01IeZTND4gRrYv74azQU6Y","3951 N Kimball Ave, Chicago, IL 60618, United States","['meal_delivery', 'meal_takeaway', 'restaurant', 'point_of_interest', 'food', 'establishment']"
"jets pizza",60654,"Jet's Pizza",4.1,1.0,297.0,"OPERATIONAL","ChIJqYAUu7QsDogRoPjSR_Dshdc","409 W Chicago Ave, Chicago, IL 60654, United States","['meal_delivery', 'meal_takeaway', 'restaurant', 'point_of_interest', 'food', 'establishment']"
"jets pizza il030",60630,"Jet's Pizza",4.3,"",157.0,"OPERATIONAL","ChIJaWdstXLND4gRrCx5rUV7is0","5255 N Milwaukee Ave, Chicago, IL 60630, United States","['meal_delivery', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']"
"jfmc facilities corporation",60606,"","","","","","","",""
"jian",60661,"","","","","","","",""
"jiang niu bbq house",60616,"Jiang Niu BBQ House Chinatown",4.2,2.0,635.0,"OPERATIONAL","ChIJFxKHPSotDogRTLh1I2C4E5c","2300 S Archer Ave, Chicago, IL 60616, United States","['restaurant', 'food', 'point_of_interest', 'establishment']"
