dba_name,address,zip,state
#1 chop suey,4307 w irving park rd,60641,il
"#1 chop suey restaurant, inc",7342 s stony island ave,60649,il
'c' a catering and event company,4300 4304 n central ave,60634,il
1 karachi chaat house,2301 w devon ave,60659,il
1 n wacker kitchen and bar,1 n wacker dr,60606,il
10 pin  bowling lounge,330 n state st,60610,il
1000 liquors   big city tap,1000 1012 w belmont ave,60657,il
101 club,101 e erie st,60611,il
11 degrees north,824 w belmont ave,60657,il
11 dining,1620 w harrison st,60612,il
11 dining,440 s la salle st,60605,il
11 dining,600 s paulina st,60612,il
"11 dining, llc",50 s la salle st,60603,il
"11 dining,llc",8750 w bryn mawr ave,60631,il
11 dinning,330 n wabash ave,60611,il
111 coffee bar,1419 w 111th st,60643,il
118th street market,11858 s state st,60628,il
1200 grill,5637 w division st,60651,il
1308 chicago,1308 n elston ave,60642,il
14 parish,1644 e 53rd st,60615,il
1492 cuban fusion inc,2615 w north ave,60647,il
1914 club,1060 w addison st,60613,il
1st chop suey,5845 s archer ave,60638,il
"1st hunan spring, inc",5279 n elston ave,60630,il
2 asian brothers,3222 w foster ave,60625,il
2015 see thru chinese kitchen,609 e 79th st,60619,il
21c museum hotel hotel chicago,55 e ontario st,60611,il
"24 hrs gyros & sub inc.,",2058 e 71st st,60649,il
24379,816 n state st,60610,il
26th street sugar shack,630 w 26th st,60616,il
2am izakaya,2218 n lincoln ave,60614,il
2d restaurant,3155 n halsted st,60657,il
2h cafe bar,5074 5076 n lincoln ave,60625,il
2nd star tavern,3626 n talman ave,60618,il
3 asian sisters,818 w fullerton ave,60614,il
3 king's jerk & gourmet egg rolls llc,5451 w madison st,60644,il
3 kings jerk & soul llc,556 n cicero ave,60644,il
"3 m restaurant, inc.",5910 n clark st,60660,il
3 sauces,2002 s wentworth ave,60616,il
312 chicago,136 n la salle st,60602,il
333 s wabash,333 s wabash ave,60604,il
35th street redhots,500 w 35th st,60616,il
360 chicago,875 n michigan ave,60611,il
3lp,964 w 31st st,60608,il
3rd base steak and hoagies llc,2740 w 111th st,60655,il
4 hermanos too,6145 w touhy ave,60646,il
4 seasons,4755 s ashland ave,60609,il
"4 yolks,inc",2659 2661 n harlem ave,60707,il
4lw cafe,3022 w diversey ave,60647,il
5 rabanitos,1758 w 18th st,60608,il
50 yard line,69 e 75th st,60619,il
500 degree pizzeria,7358 s halsted st,60621,il
5077 kiko meat market,5077 n lincoln ave,60625,il
540 cafe,540 w madison st,60661,il
5411 empanadas,2045 w north ave,60647,il
5411 empanadas,2850 n clark st,60657,il
5411 empanadas,3715 n southport ave,60613,il
55th st harold's & fresh lemonade,740 w garfield blvd,60609,il
5g eatery inc llc,18 w jackson blvd,60604,il
6 degrees,1935 n damen ave,60647,il
6 five chinese restaurant,201 w madison st,60606,il
606 cafe bar,1641 w chicago ave,60622,il
63rd and drexel mobil,850 e 63rd st,60637,il
63rd fried rice,6216 w 63rd st,60638,il
67 seafood market,6658 s cottage grove ave,60637,il
6978 soul food,6978 w north ave,60707,il
7 eleven,833 w van buren st,60607,il
7 eleven #33508j,2181 n clybourn ave,60614,il
7 eleven #337288,645 n kingsbury st,60654,il
7 eleven #33908a,451 n state st,60654,il
7 eleven #41961h,3743 s archer ave,60609,il
701 restaurant bar,5737 w irving park rd,60634,il
73 st harolds chicken,7318 s vincennes ave,60621,il
75 steak and hoagies inc,7158 s western ave,60636,il
79th bbq,11101 s halsted st,60628,il
80 proof,1500 n wells st,60610,il
876 jamaican jerk restaurant,9044 s ashland ave,60620,il
87th street jerk,1710 w 87th st,60620,il
87th street jerk & seafood market,1710 w 87th st,60620,il
88eggs,4943 n damen ave,60625,il
9 muses bar & grill,315 s halsted st,60661,il
90 miles cuban cafe,2540 w armitage ave,60647,il
